Year,Processing.ID,CageID,Replicate,Population,Site,TransplantTreatment,CageTreatment,SampleLevel,SampleType,Weight-mg,PercentN,PercentC,RatioCN,Note
2023,DCN_H6 POPRC (Plant),DCN_H6,6,DC,UP,North,Herbivore,Cage,POPRC,3.163,2,43.1,20.7,
2023,DCN_H6 SORU (Plant),DCN_H6,6,DC,UP,North,Herbivore,Cage,SORU,3.043,2.2,45.9,20.1,
2021,DCN_H7,DCN_H7,7,DC,UP,North,Herbivore,Cage,SOIL,10.001,0.2,2.4,10.5,
2023,DCN_H7 SOIL,DCN_H7,7,DC,UP,North,Herbivore,Cage,SOIL,9.995,0.2,2.7,12.1,
2021,L_DCN_H7,DCN_H7,7,DC,UP,North,Herbivore,Cage,LITTER,1.569,0.9,43.8,44.1,
2023,DCN_H7 LITTER (Plant),DCN_H7,7,DC,UP,North,Herbivore,Cage,LITTER,3.443,1.4,45.6,32,
2023,DCN_H7 MISC (Plant),DCN_H7,7,DC,UP,North,Herbivore,Cage,MISC,3.177,1.5,42.1,26.4,
2023,DCN_H7 POPRC (Plant),DCN_H7,7,DC,UP,North,Herbivore,Cage,POPRC,3.242,1.5,43,27.3,
2021,M_DCN_H7,DCN_H7,7,DC,UP,North,Herbivore,Cage,MISC,1.969,1.8,42.1,22.8,
2021,S_DCN_H7,DCN_H7,7,DC,UP,North,Herbivore,Cage,SORU,1.675,1.9,46,23.3,
2023,DCN_H7 SORU (Plant),DCN_H7,7,DC,UP,North,Herbivore,Cage,SORU,3.319,2,44.8,21.8,
2021,P_DCN_H7,DCN_H7,7,DC,UP,North,Herbivore,Cage,POPRC,1.771,3.6,45.1,12.2,
2021,DCN_H8,DCN_H8,8,DC,UP,North,Herbivore,Cage,SOIL,10.437,0.2,3,12.6,
2023,DCN_H8 SOIL,DCN_H8,8,DC,UP,North,Herbivore,Cage,SOIL,10.046,0.2,2.8,13.3,
2021,L_DCN_H8,DCN_H8,8,DC,UP,North,Herbivore,Cage,LITTER,1.916,0.7,45.9,59,
2023,DCN_H8 LITTER (Plant),DCN_H8,8,DC,UP,North,Herbivore,Cage,LITTER,3.081,0.8,43,50.7,
2023,DCN_H8 POPRC (Plant),DCN_H8,8,DC,UP,North,Herbivore,Cage,POPRC,3.112,1.1,42.5,37.4,
2021,S_DCN_H8,DCN_H8,8,DC,UP,North,Herbivore,Cage,SORU,1.75,1.6,47.5,27.9,
2023,DCN_H8 SORU (Plant),DCN_H8,8,DC,UP,North,Herbivore,Cage,SORU,3.461,2.1,46,21.6,
2021,M_DCN_H8,DCN_H8,8,DC,UP,North,Herbivore,Cage,MISC,1.784,2.2,49.9,21.8,
2021,P_DCN_H8,DCN_H8,8,DC,UP,North,Herbivore,Cage,POPRC,1.743,2.5,43.5,17.1,
2023,DCN_H8 MISC (Plant),DCN_H8,8,DC,UP,North,Herbivore,Cage,MISC,3.378,2.8,42.7,15,
2021,DCS_H1,DCS_H1,1,DC,YF,South,Herbivore,Cage,SOIL,10.722,0.1,1.2,11.3,
2023,DCS_H1 SOIL,DCS_H1,1,DC,YF,South,Herbivore,Cage,SOIL,10.036,0.1,2.4,12.4,
2021,L_DCS_H1,DCS_H1,1,DC,YF,South,Herbivore,Cage,LITTER,1.711,0.5,46.8,85.6,
2023,DCS_H1 MISC (Plant),DCS_H1,1,DC,YF,South,Herbivore,Cage,MISC,3.209,1.3,43.1,32.7,
2023,DCS_H1 POPRC (Plant),DCS_H1,1,DC,YF,South,Herbivore,Cage,POPRC,3.285,1.3,42.7,32.8,
2023,DCS_H1 LITTER (Plant),DCS_H1,1,DC,YF,South,Herbivore,Cage,LITTER,3.295,1.3,46.2,34.9,
2021,M_DCS_H1,DCS_H1,1,DC,YF,South,Herbivore,Cage,MISC,1.68,1.6,40.8,24.7,
2023,DCS_H1 SORU (Plant),DCS_H1,1,DC,YF,South,Herbivore,Cage,SORU,3.112,1.7,46.5,26,
2021,P_DCS_H1,DCS_H1,1,DC,YF,South,Herbivore,Cage,POPRC,1.842,2.1,44.9,21.2,
2021,S_DCS_H1,DCS_H1,1,DC,YF,South,Herbivore,Cage,SORU,1.627,2.1,46.6,21.5,
2021,DCS_H2,DCS_H2,2,DC,YF,South,Herbivore,Cage,SOIL,10.475,0.2,3,11.4,
2023,DCS_H2 SOIL,DCS_H2,2,DC,YF,South,Herbivore,Cage,SOIL,9.97,0.2,3.2,11.4,
2021,L_DCS_H2,DCS_H2,2,DC,YF,South,Herbivore,Cage,LITTER,1.831,1.2,42.9,34.7,
2023,DCS_H2 LITTER (Plant),DCS_H2,2,DC,YF,South,Herbivore,Cage,LITTER,3.061,1.4,43.5,29.7,
2023,DCS_H2 MISC (Plant),DCS_H2,2,DC,YF,South,Herbivore,Cage,MISC,3.427,1.8,41.5,22,
2021,M_DCS_H2,DCS_H2,2,DC,YF,South,Herbivore,Cage,MISC,1.78,2.1,41.1,19.1,
2021,S_DCS_H2,DCS_H2,2,DC,YF,South,Herbivore,Cage,SORU,1.781,2.2,47.5,21.1,
2023,DCS_H2 POPRC (Plant),DCS_H2,2,DC,YF,South,Herbivore,Cage,POPRC,3.054,2.3,41.3,17.6,
2021,P_DCS_H2,DCS_H2,2,DC,YF,South,Herbivore,Cage,POPRC,2.04,2.8,44.9,15.9,
2021,DCS_H3,DCS_H3,3,DC,YF,South,Herbivore,Cage,SOIL,10.675,0.1,2.3,13.1,
2021,P_DCS_H3,DCS_H3,3,DC,YF,South,Herbivore,Cage,POPRC,1.736,1.4,39.6,27,
2021,L_DCS_H3,DCS_H3,3,DC,YF,South,Herbivore,Cage,LITTER,1.711,1.5,46.6,29.8,
2021,M_DCS_H3,DCS_H3,3,DC,YF,South,Herbivore,Cage,MISC,2.02,1.9,44.4,23,
2021,S_DCS_H3,DCS_H3,3,DC,YF,South,Herbivore,Cage,SORU,1.687,1.9,47.5,24,
2021,DCS_H4,DCS_H4,4,DC,YF,South,Herbivore,Cage,SOIL,10.583,0,1,10.7,
2023,DCS_H4 SOIL,DCS_H4,4,DC,YF,South,Herbivore,Cage,SOIL,9.919,0.2,2.4,11.5,
2023,DCS_H4 LITTER (Plant),DCS_H4,4,DC,YF,South,Herbivore,Cage,LITTER,3.302,0.9,31.5,32.9,
2021,L_DCS_H4,DCS_H4,4,DC,YF,South,Herbivore,Cage,LITTER,2.094,0.9,40.9,42.9,
2023,DCS_H4 MISC (Plant),DCS_H4,4,DC,YF,South,Herbivore,Cage,MISC,3.097,1.1,42.3,37.8,
2021,M_DCS_H4,DCS_H4,4,DC,YF,South,Herbivore,Cage,MISC,1.613,1.5,38.8,24.6,
2023,DCS_H4 POPRC (Plant),DCS_H4,4,DC,YF,South,Herbivore,Cage,POPRC,3.089,1.8,42.6,22.9,
2021,P_DCS_H4,DCS_H4,4,DC,YF,South,Herbivore,Cage,POPRC,1.682,2.3,39.6,16.6,
2021,NA,DCS_H4,4,DC,YF,South,Herbivore,Cage,SORU,NA,NA,NA,NA,Defoliated
2021,DCS_H5,DCS_H5,5,DC,YF,South,Herbivore,Cage,SOIL,10.244,0.1,2.1,13.1,
2023,DCS_H5 SOIL,DCS_H5,5,DC,YF,South,Herbivore,Cage,SOIL,10.014,0.3,4,12.7,
2023,DCS_H5 LITTER (Plant),DCS_H5,5,DC,YF,South,Herbivore,Cage,LITTER,3.044,0.9,44.9,47,
2021,L_DCS_H5,DCS_H5,5,DC,YF,South,Herbivore,Cage,LITTER,1.613,1,44.2,41.3,
2023,DCS_H5 POPRC (Plant),DCS_H5,5,DC,YF,South,Herbivore,Cage,POPRC,3.151,1.2,43.8,35.5,
2023,DCS_H5 MISC (Plant),DCS_H5,5,DC,YF,South,Herbivore,Cage,MISC,3.078,1.7,42.6,24.6,
2021,M_DCS_H5,DCS_H5,5,DC,YF,South,Herbivore,Cage,MISC,1.992,1.8,42.4,22.4,
2021,P_DCS_H5,DCS_H5,5,DC,YF,South,Herbivore,Cage,POPRC,1.668,1.9,39.6,19.8,
2021,S_DCS_H5,DCS_H5,5,DC,YF,South,Herbivore,Cage,SORU,1.829,2.1,47,22.3,
2021,DCS_H6,DCS_H6,6,DC,YF,South,Herbivore,Cage,SOIL,10.439,0.1,2,12.2,
2023,DCS_H6 SOIL,DCS_H6,6,DC,YF,South,Herbivore,Cage,SOIL,9.951,0.2,2.8,12.2,
2023,DCS_H6 LITTER (Plant),DCS_H6,6,DC,YF,South,Herbivore,Cage,LITTER,3.108,1,45.3,43.1,
2021,L_DCS_H6,DCS_H6,6,DC,YF,South,Herbivore,Cage,LITTER,1.979,1,45.4,45.1,
2023,DCS_H6 POPRC (Plant),DCS_H6,6,DC,YF,South,Herbivore,Cage,POPRC,3.239,1.5,41.5,26.1,
2021,M_DCS_H6,DCS_H6,6,DC,YF,South,Herbivore,Cage,MISC,1.93,1.8,39.6,21.8,
2023,DCS_H6 MISC (Plant),DCS_H6,6,DC,YF,South,Herbivore,Cage,MISC,3.067,2.1,44,20.3,
2021,P_DCS_H6,DCS_H6,6,DC,YF,South,Herbivore,Cage,POPRC,1.539,2.2,43.4,19,
2021,S_DCS_H6,DCS_H6,6,DC,YF,South,Herbivore,Cage,SORU,1.517,3.2,46.9,14.5,
2023,DCS_H7 SOIL,DCS_H7,7,DC,YF,South,Herbivore,Cage,SOIL,10.021,0.2,3,12.2,
2021,DCS_H7,DCS_H7,7,DC,YF,South,Herbivore,Cage,SOIL,10.482,0.3,3.7,11.5,
2021,L_DCS_H7,DCS_H7,7,DC,YF,South,Herbivore,Cage,LITTER,1.701,0.7,46.2,59.2,
2023,DCS_H7 LITTER (Plant),DCS_H7,7,DC,YF,South,Herbivore,Cage,LITTER,3.153,1,45.1,43.7,
2023,DCS_H7 POPRC (Plant),DCS_H7,7,DC,YF,South,Herbivore,Cage,POPRC,3.3,1.9,44.9,22.7,
2023,DCS_H7 MISC (Plant),DCS_H7,7,DC,YF,South,Herbivore,Cage,MISC,3.047,2,45.3,22,
2021,P_DCS_H7,DCS_H7,7,DC,YF,South,Herbivore,Cage,POPRC,1.552,2.3,45.2,19.2,
2021,M_DCS_H7,DCS_H7,7,DC,YF,South,Herbivore,Cage,MISC,1.605,2.4,43.6,17.7,
2021,S_DCS_H7,DCS_H7,7,DC,YF,South,Herbivore,Cage,SORU,1.579,3.3,47.1,13.9,
2021,DCS_H8,DCS_H8,8,DC,YF,South,Herbivore,Cage,SOIL,10.372,0,1.1,12.6,
2023,DCS_H8 SOIL,DCS_H8,8,DC,YF,South,Herbivore,Cage,SOIL,10.132,0.2,2.6,12.3,
2023,DCS_H8 MISC (Plant),DCS_H8,8,DC,YF,South,Herbivore,Cage,MISC,3.225,1.5,47.3,30.5,
2023,DCS_H8 POPRC (Plant),DCS_H8,8,DC,YF,South,Herbivore,Cage,POPRC,3.094,1.8,43,22.8,
2021,L_DCS_H8,DCS_H8,8,DC,YF,South,Herbivore,Cage,LITTER,1.653,2,44,21.2,
2023,DCS_H8 LITTER (Plant),DCS_H8,8,DC,YF,South,Herbivore,Cage,LITTER,3.003,2,45.7,22.6,
2021,S_DCS_H8,DCS_H8,8,DC,YF,South,Herbivore,Cage,SORU,1.803,2,46.3,22.9,
2021,P_DCS_H8,DCS_H8,8,DC,YF,South,Herbivore,Cage,POPRC,1.824,2.2,40.7,18.3,
2021,M_DCS_H8,DCS_H8,8,DC,YF,South,Herbivore,Cage,MISC,1.76,2.6,40.4,15,
2021,FNH_H1,FNH_H1,1,FN,FN,Home,Herbivore,Cage,SOIL,10.036,0.4,5.1,10.9,
2023,FNH_H1 SOIL,FNH_H1,1,FN,FN,Home,Herbivore,Cage,SOIL,10.084,0.5,6.5,11.9,
2023,FNH_H1 LITTER (Plant),FNH_H1,1,FN,FN,Home,Herbivore,Cage,LITTER,3.26,0.7,47.5,63.7,
2021,L_FNH_H1,FNH_H1,1,FN,FN,Home,Herbivore,Cage,LITTER,1.688,1,46.4,44.9,
2023,FNH_H1 POPRC (Plant),FNH_H1,1,FN,FN,Home,Herbivore,Cage,POPRC,3.093,1.9,44.4,22.2,
2021,S_FNH_H1,FNH_H1,1,FN,FN,Home,Herbivore,Cage,SORU,2.09,1.9,47.7,24.6,
2021,P_FNH_H1,FNH_H1,1,FN,FN,Home,Herbivore,Cage,POPRC,1.904,2,45.1,22.5,
2023,FNH_H1 SORU (Plant),FNH_H1,1,FN,FN,Home,Herbivore,Cage,SORU,3.256,2,46.6,22.7,
2023,FNH_H1 MISC (Plant),FNH_H1,1,FN,FN,Home,Herbivore,Cage,MISC,3.137,2.3,46.6,20.1,
2021,M_FNH_H1,FNH_H1,1,FN,FN,Home,Herbivore,Cage,MISC,1.936,3.1,48,15.1,
2021,FNH_H2,FNH_H2,2,FN,FN,Home,Herbivore,Cage,SOIL,10.908,0.2,2.7,10.8,
2023,FNH_H2 SOIL,FNH_H2,2,FN,FN,Home,Herbivore,Cage,SOIL,10.301,0.2,2.6,11.8,
2021,L_FNH_H2,FNH_H2,2,FN,FN,Home,Herbivore,Cage,LITTER,1.555,1.5,45.9,30.4,
2023,FNH_H2 LITTER (Plant),FNH_H2,2,FN,FN,Home,Herbivore,Cage,LITTER,3.332,2,45.7,22.8,
2021,M_FNH_H2,FNH_H2,2,FN,FN,Home,Herbivore,Cage,MISC,1.766,2.3,43.2,18.3,
2023,FNH_H2 POPRC (Plant),FNH_H2,2,FN,FN,Home,Herbivore,Cage,POPRC,3.4,2.4,43.8,17.8,
2021,P_FNH_H2,FNH_H2,2,FN,FN,Home,Herbivore,Cage,POPRC,1.692,2.7,45.1,16.7,
2023,FNH_H2 SORU (Plant),FNH_H2,2,FN,FN,Home,Herbivore,Cage,SORU,3.243,2.8,45.4,16.1,
2023,FNH_H2 MISC (Plant),FNH_H2,2,FN,FN,Home,Herbivore,Cage,MISC,3.346,2.9,42.1,14.1,
2021,S_FNH_H2,FNH_H2,2,FN,FN,Home,Herbivore,Cage,SORU,1.502,3.2,39.6,12.3,
2021,FNH_H3,FNH_H3,3,FN,FN,Home,Herbivore,Cage,SOIL,10.922,0.3,3.3,10.5,
2023,FNH_H3 SOIL,FNH_H3,3,FN,FN,Home,Herbivore,Cage,SOIL,10.105,0.4,5.4,12.2,
2021,M_FNH_H3,FNH_H3,3,FN,FN,Home,Herbivore,Cage,MISC,1.93,1.2,47.5,39.3,
2021,L_FNH_H3,FNH_H3,3,FN,FN,Home,Herbivore,Cage,LITTER,2.026,1.4,46.9,32.7,
2023,FNH_H3 LITTER (Plant),FNH_H3,3,FN,FN,Home,Herbivore,Cage,LITTER,3.027,1.6,44.4,27.3,
2023,FNH_H3 MISC (Plant),FNH_H3,3,FN,FN,Home,Herbivore,Cage,MISC,3.06,1.9,44,22.4,
2023,FNH_H3 POPRC (Plant),FNH_H3,3,FN,FN,Home,Herbivore,Cage,POPRC,3.101,1.9,45.3,23,
2021,P_FNH_H3,FNH_H3,3,FN,FN,Home,Herbivore,Cage,POPRC,1.799,2,45.5,21.6,
2023,FNH_H3 SORU (Plant),FNH_H3,3,FN,FN,Home,Herbivore,Cage,SORU,3.125,2.2,45.5,20.1,
2021,S_FNH_H3,FNH_H3,3,FN,FN,Home,Herbivore,Cage,SORU,1.828,3.2,45.6,14,
2023,FNH_H4 SOIL,FNH_H4,4,FN,FN,Home,Herbivore,Cage,SOIL,10.476,0.2,2.4,11.9,
2021,FNH_H4,FNH_H4,4,FN,FN,Home,Herbivore,Cage,SOIL,10.414,0.3,3.4,10.2,
2021,L_FNH_H4,FNH_H4,4,FN,FN,Home,Herbivore,Cage,LITTER,1.938,0.9,48.7,49.8,
2021,P_FNH_H4,FNH_H4,4,FN,FN,Home,Herbivore,Cage,POPRC,2.027,1.1,39.6,33.7,
2023,FNH_H4 POPRC (Plant),FNH_H4,4,FN,FN,Home,Herbivore,Cage,POPRC,3.361,1.1,43.1,35.9,
2023,FNH_H4 LITTER (Plant),FNH_H4,4,FN,FN,Home,Herbivore,Cage,LITTER,3.083,1.1,44,39.9,
2023,FNH_H4 MISC (Plant),FNH_H4,4,FN,FN,Home,Herbivore,Cage,MISC,3.272,1.4,45.5,30.6,
2021,M_FNH_H4,FNH_H4,4,FN,FN,Home,Herbivore,Cage,MISC,1.671,1.7,44.5,24.8,
2023,FNH_H4 SORU (Plant),FNH_H4,4,FN,FN,Home,Herbivore,Cage,SORU,3.119,2.2,44.2,19.9,
2021,S_FNH_H4,FNH_H4,4,FN,FN,Home,Herbivore,Cage,SORU,1.777,2.4,45.5,18.2,
2021,FNH_H5,FNH_H5,5,FN,FN,Home,Herbivore,Cage,SOIL,10.559,0.1,1.7,10.5,
2023,FNH_H5 SOIL,FNH_H5,5,FN,FN,Home,Herbivore,Cage,SOIL,10.088,0.3,3.7,11.4,
2023,FNH_H5 MISC (Plant),FNH_H5,5,FN,FN,Home,Herbivore,Cage,MISC,3.235,1,43,39.4,
2023,FNH_H5 LITTER (Plant),FNH_H5,5,FN,FN,Home,Herbivore,Cage,LITTER,3.401,1.2,45.7,35.9,
2021,L_FNH_H5,FNH_H5,5,FN,FN,Home,Herbivore,Cage,LITTER,1.612,1.4,46.9,32,
2021,P_FNH_H5,FNH_H5,5,FN,FN,Home,Herbivore,Cage,POPRC,1.676,2.3,39.6,17.1,
2023,FNH_H5 SORU (Plant),FNH_H5,5,FN,FN,Home,Herbivore,Cage,SORU,3.096,2.5,46.6,18.3,
2021,S_FNH_H5,FNH_H5,5,FN,FN,Home,Herbivore,Cage,SORU,1.617,3.6,46.7,12.9,
2021,NA,FNH_H5,5,FN,FN,Home,Herbivore,Cage,MISC,NA,NA,NA,NA,None
2021,FNH_H6,FNH_H6,6,FN,FN,Home,Herbivore,Cage,SOIL,10.117,0.2,3.3,11.3,
2023,FNH_H6 SOIL,FNH_H6,6,FN,FN,Home,Herbivore,Cage,SOIL,10.126,0.3,3.6,11.5,
2021,L_FNH_H6,FNH_H6,6,FN,FN,Home,Herbivore,Cage,LITTER,1.712,1.2,23.9,19,
2023,FNH_H6 LITTER (Plant),FNH_H6,6,FN,FN,Home,Herbivore,Cage,LITTER,3.059,1.8,47.6,25,
2023,FNH_H6 SORU (Plant),FNH_H6,6,FN,FN,Home,Herbivore,Cage,SORU,3.331,2.6,46.1,17.2,
2023,FNH_H6 MISC (Plant),FNH_H6,6,FN,FN,Home,Herbivore,Cage,MISC,3.146,3,43.9,14.4,
2023,FNH_H6 POPRC (Plant),FNH_H6,6,FN,FN,Home,Herbivore,Cage,POPRC,3.272,3,43.9,14.6,
2021,P_FNH_H6,FNH_H6,6,FN,FN,Home,Herbivore,Cage,POPRC,1.758,3.1,39.6,12.7,
2021,S_FNH_H6,FNH_H6,6,FN,FN,Home,Herbivore,Cage,SORU,1.736,5.1,71.4,13.8,
2021,NA,FNH_H6,6,FN,FN,Home,Herbivore,Cage,MISC,NA,NA,NA,NA,None
2021,FNH_H7,FNH_H7,7,FN,FN,Home,Herbivore,Cage,SOIL,10.516,0.3,4.1,11.1,
2023,FNH_H7 SOIL,FNH_H7,7,FN,FN,Home,Herbivore,Cage,SOIL,10.244,0.3,4,11.8,
2023,FNH_H7 POPRC (Plant),FNH_H7,7,FN,FN,Home,Herbivore,Cage,POPRC,3.352,0.8,43.6,48.6,
2023,FNH_H7 LITTER (Plant),FNH_H7,7,FN,FN,Home,Herbivore,Cage,LITTER,3.169,1.4,44.9,31.7,
2023,FNH_H7 SORU (Plant),FNH_H7,7,FN,FN,Home,Herbivore,Cage,SORU,3.258,1.4,46.9,32.1,
2023,FNH_H7 MISC (Plant),FNH_H7,7,FN,FN,Home,Herbivore,Cage,MISC,3.219,1.6,47.6,29.2,
2021,L_FNH_H7,FNH_H7,7,FN,FN,Home,Herbivore,Cage,LITTER,1.841,1.6,53.3,32.4,
2021,S_FNH_H7,FNH_H7,7,FN,FN,Home,Herbivore,Cage,SORU,1.76,2.1,47.1,21.7,
2021,M_FNH_H7,FNH_H7,7,FN,FN,Home,Herbivore,Cage,MISC,2.079,2.2,44.3,19.4,
2021,P_FNH_H7,FNH_H7,7,FN,FN,Home,Herbivore,Cage,POPRC,1.641,2.7,39.6,14.3,
2021,FNH_H8,FNH_H8,8,FN,FN,Home,Herbivore,Cage,SOIL,10.933,0.3,3.8,11.7,
2023,FNH_H8 SOIL,FNH_H8,8,FN,FN,Home,Herbivore,Cage,SOIL,10.316,0.4,5.2,12.8,
2021,L_FNH_H8,FNH_H8,8,FN,FN,Home,Herbivore,Cage,LITTER,1.609,0.7,47.2,59.2,
2023,FNH_H8 LITTER (Plant),FNH_H8,8,FN,FN,Home,Herbivore,Cage,LITTER,3.229,1.6,46.2,28.7,
2023,FNH_H8 POPRC (Plant),FNH_H8,8,FN,FN,Home,Herbivore,Cage,POPRC,3.157,1.9,44.7,22.7,
2023,FNH_H8 SORU (Plant),FNH_H8,8,FN,FN,Home,Herbivore,Cage,SORU,3.308,2.1,47,21.8,
2021,P_FNH_H8,FNH_H8,8,FN,FN,Home,Herbivore,Cage,POPRC,1.962,2.3,46.2,19.3,
2023,FNH_H8 MISC (Plant),FNH_H8,8,FN,FN,Home,Herbivore,Cage,MISC,3.184,2.3,45.6,19.8,
2021,M_FNH_H8,FNH_H8,8,FN,FN,Home,Herbivore,Cage,MISC,1.721,2.7,44.5,15.9,
2021,S_FNH_H8,FNH_H8,8,FN,FN,Home,Herbivore,Cage,SORU,1.763,3.2,46.8,14.3,
2021,FNH_V1,FNH_V1,1,FN,FN,Home,Vegetation,Cage,SOIL,10.139,0.2,3.2,11,
2023,FNH_V1 SOIL,FNH_V1,1,FN,FN,Home,Vegetation,Cage,SOIL,10.404,0.2,3.4,11.9,
2021,L_FNH_V1,FNH_V1,1,FN,FN,Home,Vegetation,Cage,LITTER,1.678,0.9,46.1,51.1,
2023,FNH_V1 LITTER (Plant),FNH_V1,1,FN,FN,Home,Vegetation,Cage,LITTER,3.072,1.3,46.3,34.3,
2023,FNH_V1 POPRC (Plant),FNH_V1,1,FN,FN,Home,Vegetation,Cage,POPRC,3.065,2,45.2,22.1,
2023,FNH_V1 MISC (Plant),FNH_V1,1,FN,FN,Home,Vegetation,Cage,MISC,3.13,2.2,46.2,21,
2021,M_FNH_V1,FNH_V1,1,FN,FN,Home,Vegetation,Cage,MISC,1.709,2.5,44.5,17.3,
2021,P_FNH_V1,FNH_V1,1,FN,FN,Home,Vegetation,Cage,POPRC,1.546,2.7,39.6,14.6,
2023,FNH_V1 SORU (Plant),FNH_V1,1,FN,FN,Home,Vegetation,Cage,SORU,3.331,2.8,45.5,16.2,
2021,S_FNH_V1,FNH_V1,1,FN,FN,Home,Vegetation,Cage,SORU,1.849,3.2,46.6,14.2,
2021,FNH_V2,FNH_V2,2,FN,FN,Home,Vegetation,Cage,SOIL,10.749,0.2,2.6,11.5,
2023,FNH_V2 SOIL,FNH_V2,2,FN,FN,Home,Vegetation,Cage,SOIL,10.064,0.3,3.6,11.6,
2023,FNH_V2 LITTER (Plant),FNH_V2,2,FN,FN,Home,Vegetation,Cage,LITTER,3.277,0.8,46.7,54.1,
2021,L_FNH_V2,FNH_V2,2,FN,FN,Home,Vegetation,Cage,LITTER,1.65,1.5,47.5,31.7,
2021,P_FNH_V2,FNH_V2,2,FN,FN,Home,Vegetation,Cage,POPRC,1.991,1.9,43.5,22.6,
2023,FNH_V2 MISC (Plant),FNH_V2,2,FN,FN,Home,Vegetation,Cage,MISC,3.017,2,45.3,22.1,
2023,FNH_V2 SORU (Plant),FNH_V2,2,FN,FN,Home,Vegetation,Cage,SORU,3.091,2.7,45.7,16.8,
2021,M_FNH_V2,FNH_V2,2,FN,FN,Home,Vegetation,Cage,MISC,1.679,3.1,44.8,14.4,
2021,S_FNH_V2,FNH_V2,2,FN,FN,Home,Vegetation,Cage,SORU,1.815,3.3,46.6,13.8,
2021,FNH_V3,FNH_V3,3,FN,FN,Home,Vegetation,Cage,SOIL,10.952,0.3,3.9,11.8,
2023,FNH_V3 SOIL,FNH_V3,3,FN,FN,Home,Vegetation,Cage,SOIL,10.673,0.4,5.8,12.1,
2023,FNH_V3 LITTER (Plant),FNH_V3,3,FN,FN,Home,Vegetation,Cage,LITTER,3.316,0.7,45.6,57.4,
2021,L_FNH_V3,FNH_V3,3,FN,FN,Home,Vegetation,Cage,LITTER,1.675,1.2,44.4,36.5,
2021,M_FNH_V3,FNH_V3,3,FN,FN,Home,Vegetation,Cage,MISC,1.861,2,48.2,23.4,
2023,FNH_V3 MISC (Plant),FNH_V3,3,FN,FN,Home,Vegetation,Cage,MISC,3.473,2.3,44.6,19.1,
2023,FNH_V3 POPRC (Plant),FNH_V3,3,FN,FN,Home,Vegetation,Cage,POPRC,3.002,2.5,44.9,17.3,
2023,FNH_V3 SORU (Plant),FNH_V3,3,FN,FN,Home,Vegetation,Cage,SORU,3.149,2.8,44.7,15.7,
2021,P_FNH_V3,FNH_V3,3,FN,FN,Home,Vegetation,Cage,POPRC,1.53,3,45.9,14.9,
2021,S_FNH_V3,FNH_V3,3,FN,FN,Home,Vegetation,Cage,SORU,1.677,3.3,45.3,13.6,
2021,FNH_V4,FNH_V4,4,FN,FN,Home,Vegetation,Cage,SOIL,10.634,0.3,4.4,11.4,
2023,FNH_V4 SOIL,FNH_V4,4,FN,FN,Home,Vegetation,Cage,SOIL,10.351,0.3,4.3,11.4,
2021,L_FNH_V4,FNH_V4,4,FN,FN,Home,Vegetation,Cage,LITTER,1.637,1,47,44.6,
2023,FNH_V4 LITTER (Plant),FNH_V4,4,FN,FN,Home,Vegetation,Cage,LITTER,3.397,1.6,44.9,27,
2021,M_FNH_V4,FNH_V4,4,FN,FN,Home,Vegetation,Cage,MISC,1.96,2,46,23,
2023,FNH_V4 POPRC (Plant),FNH_V4,4,FN,FN,Home,Vegetation,Cage,POPRC,3.051,2.1,43.4,20.1,
2021,P_FNH_V4,FNH_V4,4,FN,FN,Home,Vegetation,Cage,POPRC,2.02,2.4,45.7,18.6,
2023,FNH_V4 SORU (Plant),FNH_V4,4,FN,FN,Home,Vegetation,Cage,SORU,3.089,2.7,46.6,17.1,
2021,S_FNH_V4,FNH_V4,4,FN,FN,Home,Vegetation,Cage,SORU,1.592,3.1,47,15.1,
2023,FNH_V4 MISC (Plant),FNH_V4,4,FN,FN,Home,Vegetation,Cage,MISC,3.486,3.2,43.1,13.1,
2021,FNH_V5,FNH_V5,5,FN,FN,Home,Vegetation,Cage,SOIL,10.028,0.4,5.3,12.2,
2023,FNH_V5 SOIL,FNH_V5,5,FN,FN,Home,Vegetation,Cage,SOIL,10.136,0.4,5.9,12.3,
2021,L_FNH_V5,FNH_V5,5,FN,FN,Home,Vegetation,Cage,LITTER,1.591,1,46.7,44.3,
2023,FNH_V5 LITTER (Plant),FNH_V5,5,FN,FN,Home,Vegetation,Cage,LITTER,3.095,1.3,46.4,35.4,
2023,FNH_V5 POPRC (Plant),FNH_V5,5,FN,FN,Home,Vegetation,Cage,POPRC,3.05,1.7,44.4,24.7,
2023,FNH_V5 MISC (Plant),FNH_V5,5,FN,FN,Home,Vegetation,Cage,MISC,3.408,2.1,45.8,21.7,
2023,FNH_V5 SORU (Plant),FNH_V5,5,FN,FN,Home,Vegetation,Cage,SORU,3.526,2.1,46.6,21.8,
2021,M_FNH_V5,FNH_V5,5,FN,FN,Home,Vegetation,Cage,MISC,1.52,2.2,45.6,20.1,
2021,S_FNH_V5,FNH_V5,5,FN,FN,Home,Vegetation,Cage,SORU,1.9,2.7,47.5,17.1,
2021,P_FNH_V5,FNH_V5,5,FN,FN,Home,Vegetation,Cage,POPRC,1.807,3.1,45.3,14.4,
2021,FNH_V6,FNH_V6,6,FN,FN,Home,Vegetation,Cage,SOIL,11.186,0.3,4.2,12.2,
2023,FNH_V6 SOIL,FNH_V6,6,FN,FN,Home,Vegetation,Cage,SOIL,10.231,0.4,5.2,11.7,
